iter	Logloss
0	0.6648294721
1	0.6383123125
2	0.611592211
3	0.5871883937
4	0.5619207655
5	0.54064985
6	0.5189110892
7	0.4971945081
8	0.4768277849
9	0.4576412746
10	0.4386143276
11	0.4207020351
12	0.403787068
13	0.3869197573
14	0.3713517053
15	0.355783408
16	0.3416401999
17	0.3274402346
18	0.3140893664
19	0.3028997149
20	0.2903528486
21	0.2793068477
22	0.2682376317
23	0.257671111
24	0.2479727881
25	0.2375046594
26	0.2281196322
27	0.2191128458
28	0.2108009338
29	0.203138188
30	0.1957240241
31	0.1886909757
32	0.1818040575
33	0.1747511591
34	0.1683359282
35	0.1621285166
36	0.1556756428
37	0.1500982966
38	0.1445086343
39	0.1391677584
40	0.1342727661
41	0.1292892184
42	0.1248027393
43	0.1198723112
44	0.1158411298
45	0.111854744
46	0.1080643654
47	0.1046969073
48	0.1009418556
49	0.09746732712
50	0.09425990922
51	0.09131629126
52	0.08861960002
53	0.0858161177
54	0.08307188579
55	0.080619921
56	0.07818656649
57	0.07578656333
58	0.07360559872
59	0.07149678639
60	0.06947258541
61	0.06721999305
62	0.06530279432
63	0.06343214171
64	0.061529759
65	0.0595253127
66	0.05779838562
67	0.05618367876
68	0.05447361469
69	0.05299175807
70	0.05158482279
71	0.05020490033
72	0.04872006689
73	0.04731014797
74	0.04607773508
75	0.04482011795
76	0.04371662821
77	0.04259866306
78	0.04153442383
79	0.04040174825
80	0.03938377244
81	0.03836859976
82	0.03739318507
83	0.03653584208
84	0.03566236496
85	0.03484939848
86	0.03395673888
87	0.0332032408
88	0.03243095534
89	0.03167419434
90	0.03094427245
91	0.03018773283
92	0.02939712661
93	0.02874652658
94	0.02808895111
95	0.02740697009
96	0.02677448136
97	0.02623217787
98	0.02562992402
99	0.02506266492
100	0.02449354785
101	0.02395832198
102	0.02347277914
103	0.02300429855
104	0.02251729284
105	0.02198865414
106	0.02151692595
107	0.02107767718
108	0.02063909599
109	0.02017899241
110	0.01976782424
111	0.01938600881
112	0.01902259418
113	0.01867917606
114	0.01830973114
115	0.01789918968
116	0.01754893235
117	0.01719681706
118	0.01688932691
119	0.01657166651
120	0.0162452272
121	0.01588156564
122	0.01561130626
123	0.01532305309
124	0.01506477594
125	0.01484208618
126	0.01456976277
127	0.01430695738
128	0.01407815473
129	0.0138702648
130	0.01363919462
131	0.01341197661
132	0.0131997415
133	0.01289153865
134	0.01264049496
135	0.0124464299
136	0.01227564982
137	0.0120776781
138	0.01189717906
139	0.01170506988
140	0.01149910859
141	0.01127262286
142	0.01107907125
143	0.0109148596
144	0.01073820421
145	0.010567895
146	0.01042275769
147	0.01029425349
148	0.01013999156
149	0.01000975115
150	0.009888389281
151	0.009755274228
152	0.009609001023
153	0.009482693672
154	0.009344966071
155	0.009228779588
156	0.009116535527
157	0.008985169445
158	0.008869003398
159	0.00874760747
160	0.008621025937
161	0.008488520554
162	0.008387262481
163	0.008260593244
164	0.008140070949
165	0.00803121669
166	0.007931055341
167	0.007837696586
168	0.007732595716
169	0.007636615208
170	0.007537381138
171	0.007437753677
172	0.007354954311
173	0.007253255163
174	0.007169356516
175	0.007099722964
176	0.007015971627
177	0.006927657979
178	0.006843827878
179	0.006763021435
180	0.006681117841
181	0.006603662031
182	0.006530337249
183	0.00646195582
